"","StockKeyLabel","StockKeyDescription","SpeciesScientificName","SpeciesCommonName","FisheriesGuild.y","DataCategory","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","Ecoregion","StockSize","SBL","D3C1","D3C2","GES"
"68","ldb.27.7b-k8abd","Four-spot megrim in divisions 7.b-k, 8.a-b, and 8.d","Lepidorhombus boscii","Four-spot megrim","Benthic","5.9",2019,"PA/Stock status only","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"69","lez.27.4a6a","Megrim in divisions 4.a and 6.a","Lepidorhombus","Megrim","Benthic","1",2019,"MSY","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"70","lez.27.4a6a","Megrim in divisions 4.a and 6.a","Lepidorhombus","Megrim","Benthic","1",2019,"MSY","Precautionary approach","GREEN","Celtic Seas Ecoregion, Greater North Sea Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"71","lez.27.6b","Megrim in Division 6.b","Lepidorhombus","Megrim","Benthic","3.2",2019,"PA","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"72","lez.27.6b","Megrim in Division 6.b","Lepidorhombus","Megrim","Benthic","3.2",2019,"PA","Precautionary approach","GREEN","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"73","lin.27.3a4a6-91214","Ling in Subareas 6-9, 12, and 14, and Divisions 3.a and 4.a","Molva molva","Ling","Demersal","3.2",2019,"PA","Maximum sustainable yield","GREEN","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"74","lin.27.3a4a6-91214","Ling in Subareas 6-9, 12, and 14, and Divisions 3.a and 4.a","Molva molva","Ling","Demersal","3.2",2019,"PA","Precautionary approach","GREEN","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREEN","GREY","GREY"
"75","mac.27.nea","Mackerel in subareas 1-8 and 14 and division 9.a","Scomber scombrus","Mackerel","Pelagic","1",2019,"MSY","Maximum sustainable yield","RED","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","RED","GREEN","RED"
"76","mac.27.nea","Mackerel in subareas 1-8 and 14 and division 9.a","Scomber scombrus","Mackerel","Pelagic","1",2019,"MSY","Precautionary approach","GREEN","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"77","meg.27.7b-k8abd","Megrim in divisions 7.b-k, 8.a-b, and 8.d","Lepidorhombus whiffiagonis","Megrim","Benthic","1",2019,"MP","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"78","meg.27.7b-k8abd","Megrim in divisions 7.b-k, 8.a-b, and 8.d","Lepidorhombus whiffiagonis","Megrim","Benthic","1",2019,"MP","Precautionary approach","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"79","mon.27.78abd","White anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius piscatorius","White anglerfish","Benthic","1",2019,"MP","Maximum sustainable yield","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"80","mon.27.78abd","White anglerfish in Subarea 7 and divisions 8.a-b and 8.d","Lophius piscatorius","White anglerfish","Benthic","1",2019,"MP","Precautionary approach","GREEN","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"81","mur.27.67a-ce-k89a","Striped red mullet in subareas 6 and 8, and divisions 7.a-c, 7.e-k, and 9.a","Mullus surmuletus","Striped red mullet","Demersal","5.2",2017,"PA","Maximum sustainable yield","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"82","mur.27.67a-ce-k89a","Striped red mullet in subareas 6 and 8, and divisions 7.a-c, 7.e-k, and 9.a","Mullus surmuletus","Striped red mullet","Demersal","5.2",2017,"PA","Precautionary approach","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","GREY","GREY","GREY","GREY","GREY"
"83","nep.fu.11","Norway lobster in Division 6.a, Functional Unit 11","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"84","nep.fu.11","Norway lobster in Division 6.a, Functional Unit 11","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"85","nep.fu.12","Norway lobster in Division 6.a, Functional Unit 12","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"86","nep.fu.12","Norway lobster in Division 6.a, Functional Unit 12","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"87","nep.fu.13","Norway lobster in Division 6.a, Functional Unit 13","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREY","Celtic Seas Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"88","nep.fu.13","Norway lobster in Division 6.a, Functional Unit 13","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREY","Celtic Seas Ecoregion","GREEN","GREY","GREY","GREEN","GREY"
"89","nep.fu.14","Norway lobster in Division 7.a, Functional Unit 14","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Maximum sustainable yield","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
"90","nep.fu.14","Norway lobster in Division 7.a, Functional Unit 14","Nephrops norvegicus","Norway lobster","Crustacean","1",2019,"FMSY Ranges","Precautionary approach","GREEN","Celtic Seas Ecoregion","GREEN","GREEN","GREEN","GREEN","GREEN"
